k;count
347;19
348;24
349;26
350;29
351;29
352;16
353;21
354;20
355;25
356;20
357;22
358;24
359;30
360;30
361;18
362;21
363;24
364;20
365;21
366;26
367;23
368;28
369;17
370;19
371;25
372;20
373;20
374;24
375;15
376;12
377;16
378;25
379;14
380;15
381;27
382;19
383;23
384;20
385;13
386;22
387;19
388;16
389;25
390;19
391;18
392;10
393;13
394;19
395;19
396;16
397;22
398;16
399;14
400;18
401;23
402;21
403;22
404;19
405;13
406;23
407;16
408;19
409;16
410;19
411;17
412;13
413;14
414;15
415;16
416;11
417;19
418;8
419;12
420;19
421;13
422;17
423;17
424;12
425;18
426;10
427;15
428;9
429;11
430;14
431;15
432;15
433;10
434;12
435;15
436;14
437;15
438;18
439;9
440;18
441;13
442;11
443;11
444;18
445;22
446;4
447;10
448;12
449;17
450;12
451;10
452;9
453;15
454;16
455;8
456;14
457;20
458;17
459;17
460;13
461;18
462;15
463;8
464;9
465;13
466;7
467;13
468;5
469;13
470;14
471;8
472;16
473;10
474;11
475;13
476;10
477;12
478;14
479;10
480;16
481;14
482;12
483;17
484;9
485;11
486;10
487;11
488;5
489;11
490;12
491;9
492;6
493;9
494;11
495;5
496;8
497;9
498;9
499;7
500;10
501;9
502;5
503;10
504;10
505;7
506;12
507;12
508;9
509;7
510;14
511;8
512;9
513;8
514;11
515;8
516;12
517;6
518;3
519;12
520;9
521;4
522;10
523;9
524;5
525;8
526;3
527;12
528;9
529;9
530;13
531;11
532;14
533;7
534;7
535;8
536;9
537;11
538;11
539;9
540;3
541;8
542;10
543;9
544;4
545;5
546;6
547;9
548;5
549;10
550;6
551;9
552;9
553;5
554;7
555;11
556;5
557;11
558;4
559;8
560;6
561;12
562;5
563;8
564;11
565;6
566;6
567;13
568;10
569;1
570;12
571;15
572;1
573;10
574;9
575;10
576;7
577;8
578;2
579;12
580;11
581;5
582;8
583;4
584;8
585;4
586;6
587;4
588;6
589;4
590;6
591;10
592;6
593;5
594;5
595;15
596;4
597;6
598;4
599;6
600;7
601;5
602;9
603;8
604;5
605;6
606;2
607;6
608;9
609;7
610;5
611;2
612;3
613;2
614;7
615;5
616;2
617;3
618;5
619;6
620;9
621;1
622;8
623;5
624;5
625;5
626;4
627;4
628;6
629;4
630;5
631;6
632;1
633;6
634;5
635;4
636;7
637;11
638;1
639;4
640;7
641;6
642;3
643;6
644;5
645;6
646;13
647;1
648;1
649;4
650;6
651;8
652;4
653;3
654;3
655;1
656;4
657;2
658;6
659;6
660;3
661;6
662;3
663;9
664;5
665;5
666;2
667;1
668;6
669;1
670;5
671;5
672;8
673;3
674;10
675;3
676;5
677;5
678;6
679;5
680;6
681;6
682;6
683;6
684;3
685;1
686;5
687;4
688;8
689;5
690;3
691;5
692;4
693;6
694;4
695;3
696;3
697;2
698;5
699;4
700;2
701;6
702;5
703;4
704;4
705;5
706;3
707;12
708;3
709;1
711;4
712;5
713;2
714;3
715;4
716;2
717;4
718;2
719;6
720;2
721;4
722;7
723;3
724;6
725;2
726;5
727;4
728;2
729;1
731;3
733;6
734;5
735;6
736;3
737;4
738;4
739;5
740;1
741;8
742;3
743;4
744;5
745;3
746;7
747;2
748;3
749;4
750;2
751;3
752;4
753;2
754;6
755;3
756;3
757;4
758;2
759;6
761;1
762;6
763;2
764;2
765;4
766;2
767;4
769;2
770;2
771;5
772;4
773;2
774;1
775;4
776;2
777;2
778;4
779;2
780;4
781;2
782;5
783;6
784;3
785;2
786;3
787;2
788;2
789;2
790;2
791;4
792;4
793;2
794;2
795;3
796;1
797;2
798;2
799;2
800;3
801;2
802;6
803;2
804;3
805;2
806;3
807;2
808;4
809;2
810;3
811;6
812;3
813;3
814;3
815;3
816;3
817;3
818;4
819;5
820;4
821;5
822;3
823;3
824;2
825;2
826;2
827;2
828;2
829;3
830;4
831;1
832;5
833;1
835;2
836;1
837;2
838;4
839;2
840;7
841;3
843;6
844;2
845;2
846;2
847;2
848;1
849;1
850;2
851;4
852;4
853;2
854;4
855;3
857;1
858;4
859;2
860;1
861;3
862;2
863;7
864;1
865;1
866;5
867;1
868;5
869;3
870;4
871;2
872;2
873;3
874;3
875;3
876;2
877;3
878;2
879;6
880;1
881;1
882;1
883;4
884;2
885;1
886;5
887;2
888;2
889;2
890;2
891;2
892;3
893;2
894;1
895;2
896;1
897;2
898;3
899;1
900;2
901;2
902;3
903;1
904;1
906;1
907;1
908;1
909;2
910;5
911;1
912;1
913;1
914;1
915;5
916;1
917;4
918;1
919;1
920;3
921;5
922;1
923;2
924;1
925;1
926;1
927;1
928;1
929;2
930;3
931;2
932;1
933;1
934;2
935;1
936;3
937;2
938;3
939;2
940;2
941;4
942;3
943;1
945;2
947;1
948;3
950;1
952;3
953;1
954;1
955;1
956;3
957;1
958;1
959;2
961;2
962;1
963;2
964;4
965;1
967;1
969;3
970;1
972;1
973;1
974;1
975;2
977;2
978;2
979;1
980;4
981;1
983;2
984;3
985;1
986;1
987;4
988;2
989;1
990;1
991;5
992;1
993;2
994;1
995;4
996;1
997;1
998;1
999;3
1000;2
1001;1
1002;2
1003;2
1004;1
1007;1
1010;3
1011;1
1012;1
1015;3
1016;1
1017;7
1018;2
1019;4
1020;2
1021;1
1022;1
1023;1
1026;4
1028;2
1032;3
1033;1
1034;1
1035;2
1036;2
1038;2
1040;3
1043;4
1044;2
1045;3
1046;2
1047;1
1049;2
1050;2
1051;2
1052;1
1054;2
1056;2
1057;3
1058;1
1059;1
1060;2
1062;4
1063;4
1064;1
1065;1
1066;3
1067;3
1068;1
1069;3
1070;1
1071;1
1072;3
1073;1
1075;2
1076;1
1077;2
1081;1
1082;3
1083;2
1084;4
1085;1
1087;1
1088;1
1089;3
1090;2
1091;2
1092;3
1095;1
1099;1
1100;3
1102;4
1104;2
1105;1
1106;1
1107;2
1109;2
1110;3
1111;4
1112;1
1114;1
1115;1
1116;1
1120;3
1121;1
1126;1
1127;1
1129;2
1131;2
1133;1
1135;2
1136;2
1137;2
1139;2
1141;2
1142;2
1143;1
1144;2
1145;2
1147;2
1148;3
1151;2
1153;3
1155;3
1158;1
1159;1
1160;1
1161;2
1162;3
1163;2
1164;1
1165;1
1166;2
1168;1
1171;3
1172;2
1174;1
1175;1
1176;2
1177;2
1178;1
1179;1
1183;1
1184;1
1185;1
1186;1
1187;3
1188;1
1193;1
1194;1
1198;1
1199;3
1200;2
1201;1
1202;4
1203;1
1207;2
1210;1
1211;3
1214;2
1217;2
1220;1
1221;1
1222;1
1224;2
1226;4
1227;1
1228;1
1229;3
1231;1
1232;1
1234;4
1235;2
1237;2
1239;1
1240;1
1243;2
1244;2
1245;1
1246;2
1247;2
1248;2
1249;1
1250;1
1253;1
1254;1
1256;1
1257;2
1259;1
1265;2
1267;1
1273;1
1274;1
1275;2
1277;1
1278;2
1279;1
1280;1
1281;2
1282;1
1283;1
1284;3
1287;2
1288;1
1291;2
1292;3
1293;1
1295;2
1296;1
1297;1
1300;1
1303;1
1305;1
1306;1
1308;1
1310;1
1311;1
1313;2
1314;1
1316;2
1317;1
1319;1
1321;1
1322;1
1323;1
1325;4
1330;1
1333;1
1335;1
1336;1
1338;3
1341;1
1343;1
1344;1
1345;1
1347;1
1348;1
1349;2
1351;1
1352;2
1353;1
1355;1
1356;3
1361;1
1362;1
1363;1
1367;1
1369;3
1373;1
1374;2
1375;1
1377;1
1379;1
1380;1
1385;1
1388;1
1389;1
1390;1
1391;2
1394;1
1396;4
1397;1
1398;1
1400;1
1402;1
1403;2
1406;1
1410;1
1412;1
1413;1
1414;1
1415;1
1417;1
1418;2
1420;1
1422;1
1424;1
1425;1
1426;2
1431;4
1432;1
1433;3
1435;1
1436;1
1438;2
1439;1
1440;1
1441;1
1442;1
1443;1
1446;1
1448;1
1450;1
1457;1
1459;1
1464;1
1466;2
1467;2
1470;1
1476;1
1477;1
1480;1
1481;1
1484;1
1485;1
1489;1
1490;1
1492;1
1496;1
1500;1
1502;1
1503;2
1504;1
1507;1
1509;1
1513;2
1520;1
1528;1
1529;1
1532;2
1536;1
1537;2
1540;1
1544;1
1545;1
1548;2
1549;1
1550;2
1551;1
1553;1
1554;1
1555;2
1556;1
1558;3
1559;2
1560;1
1562;2
1567;1
1571;1
1573;2
1576;2
1577;1
1578;1
1579;1
1580;1
1581;2
1584;1
1586;1
1587;1
1589;1
1591;2
1594;1
1596;1
1598;2
1600;1
1604;1
1608;1
1610;3
1612;1
1613;1
1618;1
1632;1
1633;1
1636;1
1639;1
1641;1
1645;1
1649;1
1651;2
1655;1
1658;1
1660;4
1664;1
1667;2
1671;1
1672;1
1673;1
1677;1
1680;1
1682;1
1684;2
1686;1
1687;2
1693;1
1695;1
1696;1
1698;1
1700;1
1703;1
1706;2
1709;2
1714;1
1719;1
1720;1
1726;1
1729;1
1732;1
1733;1
1735;1
1736;1
1743;1
1747;2
1749;1
1751;1
1753;2
1756;2
1759;1
1760;1
1765;1
1769;1
1770;1
1775;1
1779;1
1780;1
1781;1
1782;2
1785;2
1793;1
1797;1
1799;1
1800;1
1802;1
1808;1
1811;1
1813;1
1814;1
1816;1
1818;1
1828;3
1829;1
1833;1
1835;1
1837;1
1845;2
1847;1
1850;1
1853;1
1855;1
1856;1
1861;1
1867;1
1870;1
1872;1
1875;2
1878;1
1886;1
1890;1
1896;1
1898;1
1904;1
1908;1
1911;1
1916;1
1925;1
1927;1
1932;1
1936;1
1945;1
1951;1
1954;2
1957;1
1960;1
1963;1
1966;1
1974;2
1979;1
1981;1
1984;1
1986;1
1990;1
1992;1
1995;1
1999;2
2000;1
2001;2
2012;1
2014;1
2022;1
2025;1
2026;1
2032;1
2043;1
2051;1
2056;2
2058;1
2064;1
2069;1
2070;1
2078;1
2083;1
2084;1
2087;1
2091;2
2108;1
2111;1
2112;2
2113;1
2117;2
2119;1
2121;1
2122;1
2124;1
2125;1
2131;1
2132;2
2134;1
2138;1
2141;2
2142;1
2144;1
2148;1
2150;1
2154;1
2160;1
2166;1
2169;1
2176;1
2177;2
2178;1
2179;1
2182;1
2185;1
2188;1
2198;1
2201;1
2205;1
2208;1
2212;1
2213;1
2214;1
2215;1
2218;2
2229;1
2231;1
2238;3
2244;1
2250;1
2251;1
2256;1
2258;1
2262;1
2282;1
2283;2
2285;1
2317;1
2320;2
2329;1
2332;1
2334;1
2335;1
2336;2
2337;2
2342;1
2354;2
2359;1
2367;1
2369;1
2378;1
2382;1
2395;1
2415;1
2417;1
2419;1
2422;1
2428;1
2431;1
2434;1
2441;1
2457;1
2468;1
2476;1
2477;1
2478;1
2489;1
2491;2
2504;1
2505;1
2506;1
2510;1
2511;1
2517;1
2531;1
2533;1
2538;1
2544;1
2573;1
2576;1
2585;1
2589;1
2591;1
2592;1
2608;1
2611;2
2636;1
2646;2
2660;1
2667;1
2671;1
2675;2
2694;1
2700;1
2714;2
2725;1
2731;1
2741;1
2742;1
2746;1
2763;1
2784;1
2785;1
2800;1
2813;1
2828;1
2836;1
2840;1
2847;1
2852;1
2861;1
2867;1
2942;1
2943;1
2951;1
2957;1
2958;1
2959;1
2968;1
2979;1
2981;1
2992;1
2996;1
3001;1
3002;1
3017;1
3044;1
3048;1
3051;1
3057;1
3082;1
3097;1
3102;1
3103;1
3114;1
3121;1
3125;1
3136;1
3137;1
3145;1
3154;1
3155;1
3168;1
3190;1
3226;1
3237;1
3248;1
3255;1
3262;1
3268;1
3293;1
3323;1
3329;1
3348;1
3368;2
3370;1
3386;1
3387;1
3418;1
3421;1
3426;1
3437;1
3442;1
3466;1
3471;1
3473;1
3475;1
3536;1
3576;1
3581;1
3590;1
3632;1
3635;1
3644;1
3664;1
3680;1
3691;1
3697;1
3699;1
3704;1
3731;1
3732;1
3741;1
3776;1
3777;1
3788;1
3810;1
3815;1
3827;1
3850;1
3860;1
3905;1
3908;1
3917;1
3973;1
3975;1
4037;1
4058;1
4062;1
4098;1
4162;1
4168;1
4209;1
4238;1
4244;1
4262;1
4266;1
4281;1
4290;1
4300;1
4335;1
4356;1
4375;1
4381;1
4409;1
4418;1
4429;1
4456;1
4491;1
4511;1
4529;1
4530;1
4549;1
4580;1
4581;1
4602;2
4604;1
4688;1
4696;1
4700;1
4726;1
4732;1
4759;1
4782;1
4820;1
4840;1
4843;1
4857;1
4866;1
4895;1
4909;1
4910;1
4915;1
4933;1
4938;1
4946;1
4980;1
4998;1
5003;1
5067;1
5093;1
5104;1
5239;1
5287;1
5311;2
5335;1
5391;1
5407;1
5432;1
5462;1
5497;1
5539;1
5601;1
5653;1
5668;1
5719;1
5759;1
5772;1
5833;1
5870;1
5898;1
5915;1
5924;1
5931;1
6047;1
6263;1
6283;1
6468;1
6484;1
6531;1
6535;1
6550;1
6554;1
6570;1
6572;2
6647;1
6664;1
6743;1
6919;1
6957;1
7009;1
7348;1
7405;1
7410;1
7603;1
7613;1
7676;1
7766;1
7855;1
7897;1
7931;1
8187;1
8232;1
8291;1
8381;1
8448;1
8872;1
9037;1
9042;1
9053;1
9156;1
9280;1
9316;1
9969;1
10106;1
10146;1
10367;1
10920;1
10934;1
11199;1
11602;1
11990;1
12265;1
13141;1
13154;1
13917;1
14416;1
14669;1
18349;1
18761;1
20678;1
22675;1
29912;1
30499;1
31064;1
35279;1
