k;count
392;9
393;11
394;4
395;6
396;8
397;11
398;6
399;4
400;8
401;7
402;3
403;5
404;2
405;4
406;9
407;5
408;6
409;3
410;2
411;7
412;3
413;6
414;5
415;2
417;6
418;5
419;4
420;5
421;4
422;6
423;3
424;6
425;2
426;4
427;3
428;2
429;1
430;4
431;7
432;3
434;5
435;4
436;5
437;3
438;3
439;4
440;2
441;1
442;2
443;2
444;1
445;2
446;3
447;7
448;3
449;3
450;4
451;2
452;2
453;3
454;5
455;2
456;4
457;1
458;2
459;1
460;1
461;4
462;2
463;1
464;4
465;4
466;3
467;3
468;2
469;2
470;2
471;2
472;1
473;4
474;4
475;4
477;2
478;4
479;3
480;1
481;4
483;4
484;1
485;3
486;6
487;1
488;5
489;6
490;4
491;2
492;4
493;3
494;4
495;3
496;7
497;3
500;2
501;1
503;2
504;3
505;3
506;3
507;3
508;4
509;2
511;3
512;3
513;1
514;1
515;1
516;1
517;2
518;3
519;3
520;2
521;1
523;3
524;2
526;3
527;2
528;1
531;2
532;3
534;3
535;5
536;4
537;1
539;2
540;2
541;3
542;1
543;4
545;2
546;1
547;1
550;3
551;4
553;3
554;1
555;2
556;1
557;1
561;2
564;1
565;1
567;3
568;1
571;1
573;1
574;2
575;3
576;1
577;1
578;1
579;1
580;2
581;1
583;1
584;1
585;1
589;1
591;1
592;1
593;1
594;1
596;2
597;1
598;3
599;1
601;2
602;3
604;1
605;2
607;1
608;1
609;1
610;2
612;2
614;1
617;1
620;1
623;1
625;3
627;1
628;1
629;1
633;2
634;1
635;1
637;1
638;1
639;2
641;1
642;1
643;2
644;1
645;1
646;1
647;3
649;2
651;4
653;2
654;2
655;1
658;1
659;2
663;2
665;1
666;1
667;2
668;2
672;2
674;1
675;1
676;1
680;2
683;1
684;1
686;1
687;2
690;1
691;1
694;1
695;1
697;2
698;1
699;1
700;1
701;1
702;1
703;1
707;1
709;1
710;2
714;1
717;1
718;1
720;1
723;2
728;1
733;1
745;1
746;2
747;1
749;2
752;1
753;2
756;1
758;1
760;2
762;1
766;2
769;1
770;2
772;1
773;1
776;1
777;1
780;1
785;1
788;2
792;1
794;1
795;1
801;1
811;1
821;1
822;1
826;1
827;1
830;1
832;1
835;1
840;1
844;1
847;1
849;1
851;1
852;2
856;1
858;1
859;2
863;1
870;1
876;1
877;1
878;1
884;1
885;1
889;1
890;1
893;1
896;1
906;1
912;2
916;1
918;1
919;1
921;1
930;1
942;1
944;1
945;1
947;1
948;1
955;1
956;2
957;1
958;1
961;1
964;1
970;1
977;1
985;1
988;1
990;1
997;1
1008;2
1013;1
1015;1
1017;1
1021;1
1023;1
1025;1
1027;1
1035;1
1036;1
1048;1
1053;1
1056;1
1062;1
1068;1
1070;1
1071;1
1082;1
1090;1
1115;1
1116;1
1118;1
1128;1
1132;1
1135;1
1142;1
1143;1
1145;1
1156;1
1160;1
1162;1
1178;1
1184;1
1187;1
1194;2
1198;1
1200;1
1203;1
1212;1
1217;1
1229;1
1244;1
1253;1
1269;1
1289;1
1307;1
1332;1
1341;1
1342;1
1346;1
1362;1
1372;1
1382;1
1406;1
1411;1
1413;1
1414;3
1417;1
1421;1
1428;1
1437;1
1443;1
1446;1
1447;1
1451;1
1453;1
1466;1
1470;1
1471;1
1472;1
1484;1
1486;1
1494;1
1496;1
1500;1
1509;1
1534;1
1536;1
1541;1
1543;1
1558;1
1562;1
1563;1
1579;1
1592;1
1594;1
1610;1
1625;1
1627;1
1649;1
1651;1
1653;1
1658;1
1661;1
1671;1
1700;1
1701;1
1724;1
1731;1
1747;1
1754;1
1773;1
1775;1
1787;1
1788;1
1792;1
1799;1
1803;2
1808;1
1811;1
1814;1
1833;1
1836;1
1845;1
1852;1
1894;1
1924;2
1932;1
1935;1
1936;1
1946;1
1948;1
1952;1
1969;1
1975;1
1993;1
2004;1
2029;1
2035;1
2036;1
2044;1
2057;1
2069;1
2074;1
2085;1
2089;1
2099;1
2161;2
2186;1
2191;1
2208;1
2256;1
2257;1
2264;1
2300;1
2304;1
2310;1
2317;1
2320;1
2335;1
2354;1
2357;1
2362;1
2367;1
2372;1
2384;1
2400;1
2402;1
2409;1
2421;1
2431;1
2455;1
2456;1
2516;1
2517;1
2519;1
2570;1
2572;1
2638;1
2644;1
2723;1
2740;1
2753;1
2827;1
2842;1
2859;1
2921;1
2930;1
2934;1
3012;1
3078;1
3092;1
3127;1
3137;1
3150;1
3198;1
3206;1
3214;1
3219;1
3225;1
3246;1
3253;1
3330;1
3349;1
3364;1
3367;1
3383;1
3385;1
3403;1
3413;1
3512;1
3513;1
3550;1
3551;1
3573;1
3574;1
3628;1
3631;1
3736;1
3785;1
3814;1
3826;1
3836;1
3866;1
4023;1
4050;1
4096;1
4195;1
4210;1
4252;1
4347;1
4442;1
4481;1
4527;1
4545;1
4547;1
4588;1
4685;1
4711;1
4863;1
4895;1
4991;1
5005;1
5098;1
5182;1
5192;1
5195;1
5277;1
5287;1
5566;1
5606;1
5700;1
5727;1
5821;1
5849;1
5996;1
6046;1
6091;1
6112;1
6235;1
6315;1
6353;1
6355;1
6374;1
6501;1
6524;1
6553;1
6584;1
6763;1
6879;1
6979;1
6992;1
7017;1
7047;1
7135;1
7149;1
7277;1
7395;1
7474;1
7482;1
7863;1
7888;1
7892;1
8077;1
8127;1
8162;1
8197;1
8243;1
8502;1
8643;1
8647;1
8723;1
8735;1
8803;1
8837;1
8930;1
9000;1
9352;1
9388;1
9689;1
10153;1
10202;1
10557;1
10671;1
10782;1
11125;1
11321;1
11750;1
11995;1
12094;1
12317;1
12318;1
12334;1
12446;1
12659;1
12864;1
12898;1
13056;1
13090;1
13145;1
13796;1
13918;1
14226;1
14462;1
14475;1
14476;1
14630;1
14699;1
15026;1
15470;1
15776;1
15893;1
15908;1
16254;1
17241;1
17331;1
19985;1
20154;1
20216;1
20391;1
20523;1
20800;1
21657;1
21865;1
21929;1
23468;1
25955;1
27609;1
27674;1
29299;1
29531;1
29551;1
29975;1
29991;1
31366;1
31808;1
31958;1
34815;1
35766;1
35927;1
35950;1
36311;1
36542;1
37548;1
37729;1
39858;1
41012;1
43066;1
43400;1
43451;1
48780;1
49481;1
50409;1
50698;1
52882;1
53309;1
54860;1
57104;1
63058;1
63354;1
64044;1
64991;1
65497;1
66531;1
66996;1
67683;1
70304;1
70636;1
71939;1
76678;1
76729;1
78216;1
78662;1
83134;1
104005;1
108459;1
111147;1
113011;1
116022;1
116055;1
117331;1
123184;1
125634;1
125656;1
128253;1
130338;1
135660;1
137493;1
146463;1
147351;1
151724;1
152752;1
155803;1
165572;1
168771;1
180901;1
181799;1
185046;1
185462;1
192448;1
194105;1
207375;1
211283;1
213352;1
215257;1
218251;1
219629;1
220436;1
227477;1
267827;1
281256;1
283295;1
306477;1
311958;1
322808;1
332117;1
348970;1
357594;1
363111;1
386271;1
388848;2
389128;1
391017;1
422788;1
423621;1
438742;1
462808;1
478641;1
482585;1
484203;1
494738;1
497462;1
509896;1
567125;1
588993;1
598278;1
622559;1
630079;1
633857;1
636137;1
637502;1
639229;1
650159;1
668598;1
670321;1
672092;1
690509;1
690746;1
719604;1
721484;1
725073;1
735130;1
737266;1
742179;1
749536;1
768863;1
781977;1
785067;1
791712;1
798730;1
807744;1
841180;1
878929;1
879240;1
885370;1
950555;1
959455;1
1049800;1
1092029;1
1120195;1
1145940;1
1150921;1
1155532;1
1398565;1
1512390;1
1600635;1
1632862;1
1738225;1
2099556;1
3483759;1
3864451;1
4564923;1
6977563;1
8394350;1
8556039;1
8676684;1
19310138;1
